#syscall (v5.15.0 2021-11-03),x86,x86_64,x32,arm,aarch64,mips,mips64,mips64n32,parisc,parisc64,ppc,ppc64,riscv64,s390,s390x,sh
fanotify_init,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04
fanotify_mark,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04
fchdir,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04
fchmod,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04
fchmodat,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04
fchown,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04
fchown32,SCMP_KV_5_04,SCMP_KV_UNDEF,SCMP_KV_UNDEF,SCMP_KV_5_04,SCMP_KV_UNDEF,SCMP_KV_UNDEF,SCMP_KV_UNDEF,SCMP_KV_UNDEF,SCMP_KV_UNDEF,SCMP_KV_UNDEF,SCMP_KV_UNDEF,SCMP_KV_UNDEF,SCMP_KV_UNDEF,SCMP_KV_5_04,SCMP_KV_UNDEF,SCMP_KV_5_04
fchownat,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04
fcntl,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04
fcntl64,SCMP_KV_5_04,SCMP_KV_UNDEF,SCMP_KV_UNDEF,SCMP_KV_5_04,SCMP_KV_UNDEF,SCMP_KV_5_04,SCMP_KV_UNDEF,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_UNDEF,SCMP_KV_UNDEF,SCMP_KV_5_04,SCMP_KV_UNDEF,SCMP_KV_5_04
fdatasync,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04
fgetxattr,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04
finit_module,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04
flistxattr,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04
flock,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04
fork,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_UNDEF,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_UNDEF,SCMP_KV_5_04,SCMP_KV_5_04,SCMP_KV_5_04
